,Price,4G,Reporter,Crew Duration,edit duration,DayOfWeek,Report Duration (seconds),Client_bbc arabic,Client_beirutsat,Client_bloomberg asharq,Client_byblos medya,Client_newstime,Client_priyanka cgtn,Client_russia today,Truck_Nissan Sunny,Truck_Nissan X.Trail,Truck_Renault Duster,Truck_Suzuki Cias,Truck_other Truck,Others Acces_No Acces,Others Acces_Pro-X,Others Acces_Torch,Format_MP4-HD,Format_MXF,Format_MXF OP1A,Format_MXF-HD 50i,Format_No format
736,280,0,1,60,0,1,145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
737,350,0,0,425,15,2,104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
738,250,0,1,180,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
739,280,0,1,180,60,2,152,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
740,285,0,0,180,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
741,50,0,0,0,30,2,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
742,50,0,0,0,60,2,325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
743,265,0,1,285,120,3,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
744,285,0,1,65,60,3,1107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
745,50,0,1,0,30,3,320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
746,350,0,0,150,15,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,285,0,1,270,30,4,126,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
748,265,1,1,480,75,5,175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
749,285,1,0,435,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
